Date	Vendor1	Vendor4	Vendor3	Vendor2
1-Jan-13	24.98	2.29		23.97
2-Jan-13	24.98	23.99		23.97
3-Jan-13	24.98	23.99		23.97
4-Jan-13	24.98	23.99		23.97
5-Jan-13	24.99	23.99		23.97
6-Jan-13	24.98	23.99		23.97
7-Jan-13	24.98	23.99		23.97
8-Jan-13	24.98	23.99		23.97
14-Jan-13	23.99	23.99		23.97
21-Jan-13	23.99	23.99		23.97
28-Jan-13	23.99	23.99		23.97
4-Feb-13	23.99	23.99		23.97
11-Feb-13	23.99	23.99		23.97
18-Feb-13	23.99	23.99		23.97
25-Feb-13	23.99	23.99		23.97
4-Mar-13	23.99	23.99		23.97
8-Mar-13	23.99	23.99		23.97
11-Mar-13	23.99	23.99		23.97
12-Mar-13	23.99	23.99		23.97
13-Mar-13	23.99	23.99		23.97
14-Mar-13	23.99	23.99		23.97
15-Mar-13	23.99	23.99		23.97
18-Mar-13	23.99	23.99		23.97
19-Mar-13	23.99	23.99		23.97
20-Mar-13	23.99	23.99		23.97
21-Mar-13	23.99	23.99		23.97
22-Mar-13	23.99	23.99		23.97
25-Mar-13	23.99	2		23.97
26-Mar-13	23.99	2		23.97
27-Mar-13	2	2		23.97
28-Mar-13	2	2		23.97
29-Mar-13	2	2		23.97
3-Jun-13	23.4			23.97
4-Jun-13	23.4	19.99		23.97
5-Jun-13	23.4	19.99		
1-Jul-13	23.99	23.99		23.97
2-Jul-13	23.99	23.99		23.97
3-Jul-13	23.99	23.99		23.97
4-Jul-13	23.99	23.99		23.97
5-Jul-13	23.99	23.99		23.97
6-Jul-13	23.99			23.97
7-Jul-13	22.84			23.97
8-Jul-13	22.84	23.99		23.97
9-Jul-13	23.28	23.99		23.97
10-Jul-13	23.77	23.99		23.97
11-Jul-13	23.77	23.99		23.97
12-Jul-13	23.99	23.99		23.97
13-Jul-13	23.99			23.97
14-Jul-13	23.99			23.97
15-Jul-13	23.99	23.99		23.97
16-Jul-13	23.99	23.99		23.97
